,sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score
218,sector 22,flat,ambience creacions,4.1,28101.0,1459.0,Super Built up area 2781(258.36 sq.m.)Carpet area: 1459 sq.ft. (135.55 sq.m.),3,3,3+,2.0,North-East,New Property,2781.0,,1459.0,0,0,0,0,0,2,119
221,sector 31,house,independent,4.6,32258.0,1426.0,Built Up area: 1426 (132.48 sq.m.)Carpet area: 1069 sq.ft. (99.31 sq.m.),2,2,2,2.0,East,Undefined,,1426.0,1069.0,0,0,0,0,0,1,0
227,sector 41,house,independent,4.25,26235.0,1619.97,Plot area 180(150.5 sq.m.),10,9,3+,4.0,North,Moderately New Property,,1620.0,,1,1,0,0,0,0,36
246,sector 27,house,independent,4.25,31481.0,1350.02,Plot area 163(136.29 sq.m.)Built Up area: 161 sq.yards (134.62 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),5,5,3+,3.0,East,Relatively new property,,161.0,150.0,1,0,0,1,0,0,49
262,sector 105,house,independent,9.9,49500.0,2000.0,Built Up area: 2000 (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2,2,2,3.0,North,Undefined,,2000.0,1800.0,0,0,0,0,0,1,0
269,sector 66,house,emaar mgf marbella,8.8,41615.0,2114.62,Built Up area: 267 (223.25 sq.m.),4,4,3+,3.0,South-East,Relatively new property,,267.0,,1,0,0,1,1,1,107
276,sector 26,house,dlf city plots,19.0,42054.0,4518.0,Plot area 502(419.74 sq.m.),6,6,3,2.0,East,Relatively new property,,4518.0,,1,1,0,0,0,0,121
277,sector 2,house,independent,6.0,24691.0,2430.04,Plot area 270(225.75 sq.m.),5,6,3+,3.0,East,Old Property,,2430.0,,0,1,1,1,0,0,43
279,sector 43,house,ansal sushant lok plots,3.3,26570.0,1242.0,Plot area 138(115.39 sq.m.),1,1,0,,Na,Under Construction,,1242.0,,0,0,0,0,0,1,0
288,sector 52,house,raj villas,8.0,25543.0,3131.97,Carpet area: 348 (290.97 sq.m.),6,5,3+,4.0,East,Undefined,,,348.0,0,0,0,0,0,1,0
299,sector 25,house,independent,9.0,28490.0,3159.0,Plot area 351(293.48 sq.m.),10,10,3,3.0,East,Old Property,,3159.0,,0,0,0,1,0,0,64
304,sector 57,house,independent,7.25,26852.0,2699.99,Plot area 300(250.84 sq.m.),9,9,3+,2.0,North-East,New Property,,2700.0,,1,0,1,1,0,0,49
311,sector 104,house,shree krishna homes,0.48,50000.0,96.0,Plot area 80(7.43 sq.m.)Built Up area: 795 sq.ft. (73.86 sq.m.)Carpet area: 720 sq.ft. (66.89 sq.m.),2,2,1,1.0,North-East,New Property,,795.0,720.0,0,1,1,1,0,1,44
325,sector 25,house,independent,10.0,37037.0,2700.0,Plot area 2700(250.84 sq.m.)Built Up area: 9500 sq.ft. (882.58 sq.m.)Carpet area: 9000 sq.ft. (836.13 sq.m.),5,5,3+,3.0,East,Moderately New Property,,9500.0,9000.0,1,0,0,1,0,2,29
327,sector 50,house,unitech espace,10.45,32253.0,3240.01,Plot area 360(301.01 sq.m.),5,7,3+,3.0,Na,Moderately New Property,,3240.0,,1,1,1,1,0,0,153
331,sector 43,house,independent,3.35,26973.0,1241.98,Plot area 138(115.39 sq.m.),1,1,0,1.0,East,Old Property,,1242.0,,0,0,0,0,0,1,9
335,sector 45,house,independent,10.0,30864.0,3240.02,Plot area 360(301.01 sq.m.),6,6,3+,4.0,North-East,Moderately New Property,,3240.0,,1,1,0,1,1,0,70
342,sector 45,house,independent,7.35,29697.0,2475.0,Plot area 275(229.94 sq.m.),6,4,3+,3.0,North-East,Old Property,,2475.0,,1,1,0,1,1,0,61
345,sector 54,flat,dlf park place,4.85,25866.0,1875.0,Super Built up area 1875(174.19 sq.m.),3,4,3+,25.0,South-East,Relatively new property,1875.0,,,1,0,0,0,0,0,26
355,sector 25,house,nul,9.5,33404.0,2843.97,Plot area 316(264.22 sq.m.),9,9,3+,3.0,North-West,Old Property,,2844.0,,0,0,1,0,0,1,81
357,sector 25,house,dlf city plots phase 2,15.5,34307.0,4518.03,Plot area 502(419.74 sq.m.),5,6,3+,3.0,East,Moderately New Property,,4518.0,,1,1,0,1,1,1,144
381,sector 43,house,independent,8.25,30556.0,2699.96,Plot area 300(250.84 sq.m.),5,6,3+,3.0,West,Moderately New Property,,2700.0,,1,1,0,1,1,0,64
396,sector 43,house,independent,3.0,53763.0,558.0,Plot area 62(51.84 sq.m.),12,12,3+,5.0,West,New Property,,558.0,,0,0,1,0,0,2,20
415,sector 24,flat,ambience caitriona,14.0,200000.0,700.0,Built Up area: 700 (65.03 sq.m.),4,5,3,3.0,East,Undefined,,700.0,,0,0,0,0,0,1,0
431,sector 28,house,dlf city plots phase 4,9.54,29444.0,3240.05,Plot area 360(301.01 sq.m.),6,5,3+,3.0,North,New Property,,3240.0,,1,1,0,1,1,1,153
441,sector 105,house,independent,0.55,98214.0,56.0,Built Up area: 56 (5.2 sq.m.),4,4,0,2.0,Na,Undefined,,56.0,,0,0,0,0,0,1,0
450,sector 26,house,independent,26.0,82540.0,3149.99,Plot area 402(336.12 sq.m.)Built Up area: 400 sq.yards (334.45 sq.m.)Carpet area: 350 sq.yards (292.64 sq.m.),16,16,3+,4.0,North-West,New Property,,400.0,350.0,1,1,0,1,1,0,72
451,sector 43,house,independent,6.5,35400.0,1836.16,Plot area 215(179.77 sq.m.)Built Up area: 215 sq.yards (179.77 sq.m.),5,4,3+,3.0,South-East,Moderately New Property,,215.0,,1,0,0,1,0,0,54
459,sector 25,house,independent,16.0,26667.0,5999.93,Built Up area: 6000 (557.42 sq.m.),6,5,2,3.0,East,Relatively new property,,6000.0,,0,0,0,0,0,1,0
478,sector 28,house,housing board colony,5.5,30556.0,1799.97,Plot area 200(167.23 sq.m.),4,3,3,2.0,North,Old Property,,1800.0,,0,0,1,1,0,0,22
487,sector 12,house,independent,6.0,315789.0,190.0,Plot area 190(17.65 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),9,6,2,2.0,North-East,Old Property,,,1600.0,0,0,0,0,0,1,0
501,sector 40,house,independent house sector 45,9.0,38022.0,2367.05,Plot area 2367(219.9 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),12,12,3,4.0,North-West,New Property,,9000.0,6000.0,1,0,0,0,0,0,71
510,sector 25,house,dlf city plots phase 2,4.5,33333.0,1350.01,Plot area 150(125.42 sq.m.),5,3,2,3.0,Na,Old Property,,1350.0,,0,0,0,1,1,1,25
512,sector 53,flat,tulip monsella,8.25,28000.0,2946.0,Super Built up area 2940(273.13 sq.m.),3,4,3,8.0,Na,Under Construction,2940.0,,,1,0,0,0,0,2,35
524,sector 28,house,independent,11.25,34722.0,3240.02,Plot area 360(301.01 sq.m.),9,9,3+,2.0,North,Moderately New Property,,3240.0,,1,0,0,1,1,0,126
532,sector 43,house,independent,5.3,27390.0,1935.01,Plot area 215(179.77 sq.m.),9,9,3+,3.0,East,Moderately New Property,,1935.0,,1,0,0,0,0,0,71
537,sector 43,house,independent,9.5,42222.0,2250.01,Plot area 302(252.51 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),5,5,3+,2.0,North-East,Relatively new property,,300.0,250.0,1,0,0,1,0,0,88
538,sector 50,house,unitech espace,11.5,35494.0,3239.98,Built Up area: 3240 (301.01 sq.m.),5,6,0,1.0,North-West,Undefined,,3240.0,,0,0,0,0,0,1,0
555,sector 26,house,dlf city phase 1,3.25,33129.0,981.01,Plot area 109(91.14 sq.m.),3,3,3,2.0,West,Old Property,,981.0,,0,1,0,0,0,1,79
582,sector 26,house,independent,17.0,37627.0,4518.03,Plot area 502(419.74 sq.m.),5,5,3+,2.0,North-East,Relatively new property,,4518.0,,1,1,0,1,1,0,124
593,sector 26,house,independent,6.75,27778.0,2429.98,Plot area 270(225.75 sq.m.),3,3,3,2.0,North-East,Moderately New Property,,2430.0,,0,0,0,0,0,1,27
602,sector 105,house,independent,0.38,76000.0,50.0,Carpet area: 50 (4.65 sq.m.),2,2,2,1.0,Na,Undefined,,,50.0,0,0,0,0,0,1,0
626,sector 25,house,independent,10.0,37037.0,2700.0,Plot area 300(250.84 sq.m.),5,6,3,3.0,North,Old Property,,2700.0,,1,0,0,0,1,0,64
631,sector 43,house,independent,4.5,39062.0,1152.01,Plot area 128(107.02 sq.m.),20,20,3+,4.0,East,Relatively new property,,1152.0,,1,0,0,0,0,2,22
652,sector 48,flat,central park resorts,9.3,24926.0,3731.0,Super Built up area 3931(365.2 sq.m.)Built Up area: 3831 sq.ft. (355.91 sq.m.)Carpet area: 3731 sq.ft. (346.62 sq.m.),4,4,3+,10.0,North-East,Moderately New Property,3931.0,3831.0,3731.0,1,1,0,1,1,0,67
653,sector 50,house,independent,7.0,32407.0,2160.03,Built Up area: 240 (200.67 sq.m.),3,2,0,1.0,Na,Undefined,,240.0,,0,0,0,0,0,1,0
654,sector 50,house,unitech espace,7.35,41762.0,1759.97,Plot area 240(200.67 sq.m.),4,4,3+,3.0,South,Moderately New Property,,240.0,,1,0,0,1,0,0,52
661,sector 49,house,eros rosewood city,1.6,31481.0,508.24,Plot area 60(50.17 sq.m.),4,4,3,4.0,East,New Property,,60.0,,0,0,0,0,0,0,27
682,sector 25,house,independent,9.9,29333.0,3375.04,Plot area 375(313.55 sq.m.),5,5,2,2.0,South-East,Moderately New Property,,3375.0,,0,0,0,1,0,0,106
684,sector 12,house,independent,1.0,74074.0,135.0,Plot area 135(12.54 sq.m.)Built Up area: 3750 sq.ft. (348.39 sq.m.),9,7,3+,3.0,North,Moderately New Property,,3750.0,,0,0,0,1,1,1,7
687,sector 43,house,ansal sushant lok plots,5.8,29974.0,1935.01,Plot area 215(179.77 sq.m.),6,6,3,2.0,South-West,Relatively new property,,1935.0,,1,0,1,0,0,0,49
730,sector 55,house,independent,9.19,34037.0,2700.0,Plot area 300(250.84 sq.m.),16,18,2,4.0,West,New Property,,2700.0,,1,0,0,1,0,0,49
745,sector 26,house,dlf city phase 1,9.25,47803.0,1935.02,Plot area 1935(179.77 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.),12,12,3+,4.0,North-East,New Property,,7000.0,,1,0,0,1,0,0,43
749,sector 109,house,international city by sobha phase 1,5.85,26423.0,2213.98,Plot area 246(205.69 sq.m.),4,5,3+,2.0,East,Relatively new property,,2214.0,,1,0,0,0,0,0,85
753,sector 26,house,independent,4.0,29630.0,1349.98,Plot area 150(125.42 sq.m.),4,4,3,2.0,North,Old Property,,1350.0,,0,0,0,0,1,1,41
756,sector 26,house,dlf city phase 1,5.5,30556.0,1799.97,Plot area 200(167.23 sq.m.),4,4,3,2.0,North-East,Moderately New Property,,1800.0,,1,1,0,1,0,1,69
786,sector 66,house,emaar mgf marbella,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3+,3.0,East,New Property,,3240.0,,1,0,0,1,1,0,106
791,sohna road,flat,breez global hill view,2.6,46917.0,554.0,Carpet area: 554.16 (51.48 sq.m.),2,2,2,6.0,Na,New Property,,,554.1255719999999,0,0,0,0,0,1,42
792,sector 43,house,ansal sushant lok plots,7.0,25926.0,2699.99,Plot area 300(250.84 sq.m.),5,5,3+,3.0,North-East,Relatively new property,,2700.0,,1,1,0,1,0,0,41
819,sector 28,house,nul,12.5,51440.0,2430.02,Plot area 270(225.75 sq.m.),16,17,3+,4.0,South,Relatively new property,,2430.0,,1,1,1,1,0,2,137
840,sector 50,house,ss hibiscus,12.5,40850.0,3059.98,Plot area 470(392.98 sq.m.)Built Up area: 410 sq.yards (342.81 sq.m.)Carpet area: 340 sq.yards (284.28 sq.m.),4,4,3+,2.0,West,Relatively new property,,410.0,340.0,1,1,0,0,0,2,160
857,sector 62,flat,emaar digihomes,4.25,26562.0,1600.0,Carpet area: 1600 (148.64 sq.m.),3,3,3,8.0,Na,Under Construction,,,1600.0,0,1,0,0,0,1,16
858,sector 40,house,independent,9.5,40135.0,2367.01,Plot area 263(219.9 sq.m.),12,12,3+,4.0,Na,New Property,,2367.0,,0,0,0,0,1,0,57
868,sector 50,house,unitech aspen greens,6.8,31481.0,2160.03,Plot area 240(200.67 sq.m.)Built Up area: 220 sq.yards (183.95 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),4,5,3,3.0,West,Old Property,,220.0,200.0,1,1,0,0,0,0,111
869,sector 43,house,independent,7.5,38760.0,1934.98,Plot area 215(179.77 sq.m.),12,12,3+,4.0,East,New Property,,1935.0,,1,1,0,1,1,0,72
884,sector 65,flat,m3m latitude,4.6,26790.0,1717.0,Carpet area: 1717 (159.51 sq.m.),3,3,3,7.0,South,New Property,,,1717.0,1,1,0,1,1,1,115
892,sector 43,house,independent,8.49,31444.0,2700.04,Plot area 300(250.84 sq.m.),3,3,2,4.0,North,Relatively new property,,2700.0,,1,0,0,1,0,0,21
896,sector 25,house,dlf city plots phase 2,6.5,33592.0,1934.98,Plot area 215(179.77 sq.m.),9,9,3+,3.0,West,Old Property,,1935.0,,1,1,0,1,1,0,142
904,sector 54,flat,dlf the grove,5.7,41245.0,1382.0,Built Up area: 1382 (128.39 sq.m.),3,3,3,1.0,East,Undefined,,1382.0,,0,0,0,0,0,1,46
905,sector 25,house,independent,13.5,37313.0,3618.04,Plot area 402(336.12 sq.m.),5,6,3+,4.0,North-East,Old Property,,3618.0,,0,0,1,0,0,0,79
936,sector 24,house,independent,10.0,229885.0,435.0,Carpet area: 435 (40.41 sq.m.),8,10,3+,1.0,West,Undefined,,,435.0,0,0,0,0,0,1,0
944,sector 47,house,malibu towne,8.81,27191.0,3240.04,Plot area 360(301.01 sq.m.),8,6,3+,3.0,East,Moderately New Property,,3240.0,,1,1,1,0,0,0,27
949,sector 31,house,independent,9.25,39530.0,2339.99,Plot area 265(221.57 sq.m.)Built Up area: 262 sq.yards (219.07 sq.m.)Carpet area: 260 sq.yards (217.39 sq.m.),12,12,3+,4.0,North-East,New Property,,262.0,260.0,1,0,1,1,0,2,49
959,sector 41,house,unitech palms south city 1,9.35,28858.0,3240.0,Plot area 3240(301.01 sq.m.)Built Up area: 7500 sq.ft. (696.77 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),10,10,3+,4.0,North-East,Moderately New Property,,7500.0,6000.0,1,1,0,0,0,0,70
970,sector 3 phase 3 extension,house,independent,0.75,57692.0,130.0,Built Up area: 130 (12.08 sq.m.),2,2,0,1.0,Na,Undefined,,130.0,,0,0,0,0,0,1,0
972,sector 43,house,independent,1.9,35185.0,540.0,Plot area 60(50.17 sq.m.)Built Up area: 60 sq.yards (50.17 sq.m.),3,3,3+,3.0,Na,Old Property,,60.0,,0,0,0,0,0,2,0
978,sector 109,house,international city by sobha phase 1,6.1,25103.0,2429.99,Plot area 270(225.75 sq.m.),5,6,3+,2.0,Na,Moderately New Property,,2430.0,,1,0,0,0,0,1,30
981,sector 26,house,independent,10.5,43210.0,2429.99,Plot area 302(252.51 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 270 sq.yards (225.75 sq.m.),12,12,3+,4.0,North-East,Relatively new property,,300.0,270.0,1,0,0,1,0,0,72
986,sector 12,house,rk excelo,0.6,120000.0,50.0,Plot area 50(4.65 sq.m.)Built Up area: 30 sq.ft. (2.79 sq.m.)Carpet area: 15 sq.ft. (1.39 sq.m.),5,3,2,3.0,North,Moderately New Property,,30.0,15.0,0,0,1,0,0,1,0
992,sector 26,house,dlf city plots,20.0,44265.0,4518.24,Plot area 502(419.74 sq.m.),16,20,3+,4.0,North-East,New Property,,4518.0,,1,1,0,1,1,0,153
1000,sector 33,house,unitech uniworld resorts,11.5,24573.0,4679.93,Plot area 520(434.79 sq.m.),5,6,3+,4.0,East,Relatively new property,,4680.0,,1,0,0,0,0,1,84
1018,sector 48,house,vipul tatvam villa,8.25,38194.0,2160.03,Plot area 350(292.64 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 240 sq.yards (200.67 sq.m.),4,4,3+,3.0,North-East,Relatively new property,,300.0,240.0,1,0,0,0,1,0,160
1063,sector 51,flat,housing board colony,0.3,41666.0,72.0,Carpet area: 72 (6.69 sq.m.),1,1,0,0.0,Na,Moderately New Property,,,72.0,0,1,0,0,0,1,15
1104,sector 49,house,uppal southend,3.75,25562.0,1467.02,Plot area 163(136.29 sq.m.),6,6,3,3.0,East,Moderately New Property,,1467.0,,0,0,1,0,0,1,49
1142,sector 48,house,vipul tatvam villa,8.5,26235.0,3239.95,Plot area 360(301.01 sq.m.),4,6,3,3.0,North,Old Property,,3240.0,,1,0,1,1,0,1,49
1145,sector 26,house,independent,8.49,47167.0,1799.99,Plot area 200(167.23 sq.m.),12,12,3+,4.0,North,Relatively new property,,1800.0,,1,0,0,1,0,0,42
1149,sector 28,house,independent,8.4,34568.0,2429.99,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,Relatively new property,,2430.0,,1,0,0,1,1,0,139
1153,sector 26,house,dlf city plots,17.3,38734.0,4466.36,Plot area 502(419.74 sq.m.),6,7,3+,3.0,North,New Property,,4518.0,,1,1,0,1,1,0,124
1175,sector 24,house,dlf city plots phase 3,1.6,29629.0,540.01,Plot area 540(50.17 sq.m.)Built Up area: 540 sq.ft. (50.17 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),8,5,3+,4.0,East,Old Property,,540.0,500.0,0,0,0,0,0,1,8
1190,sector 25,house,floor wise designer kothi,13.0,48148.0,2700.01,Plot area 300(250.84 sq.m.),12,16,3+,4.0,North-East,New Property,,2700.0,,1,1,0,1,1,0,144
1198,sector 26,house,luxury dlf city floors,8.25,45833.0,1800.01,Plot area 200(167.23 sq.m.),12,12,3+,4.0,North,New Property,,1800.0,,1,0,0,0,0,0,105
1222,sector 54,house,suncity township,2.0,30968.0,645.83,Plot area 60Built Up area: 60 sq.m.Carpet area: 59 sq.m.,9,9,3,11.0,North,Relatively new property,,60.0,59.0,1,0,0,0,0,2,7
1227,sector 48,flat,central park resorts,11.25,28266.0,3980.0,Carpet area: 3980 (369.75 sq.m.),4,5,3+,2.0,North-West,Relatively new property,,,3980.0,1,0,0,1,0,1,45
1260,sector 7,house,independent,1.35,40909.0,330.0,Built Up area: 330 (30.66 sq.m.),4,5,0,3.0,Na,Undefined,,330.0,,0,0,0,0,0,1,0
1271,sector 50,house,unitech espace,7.42,34351.0,2160.05,Plot area 2160(200.67 sq.m.)Built Up area: 3200 sq.ft. (297.29 sq.m.),4,4,3,2.0,West,Old Property,,3200.0,,0,0,0,0,0,0,88
1295,sector 56,house,independent,12.39,45889.0,2699.99,Plot area 300(250.84 sq.m.),16,18,3+,4.0,North-East,New Property,,2700.0,,1,0,0,1,0,0,49
1302,sector 41,house,unitech palms south city 1,9.25,28549.0,3240.04,Plot area 3240(301.01 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),9,9,3+,4.0,North,Moderately New Property,,5000.0,4500.0,1,1,0,1,1,0,65
1315,sector 24,house,independent,11.0,28898.0,3806.49,Plot area 3806.45(353.63 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.),8,11,3+,3.0,East,Old Property,,5000.0,,1,1,1,1,0,0,39
1322,sector 26,house,independent,23.0,25556.0,8999.84,Plot area 1000(836.13 sq.m.),4,4,3+,2.0,South-West,Relatively new property,,9000.0,,1,1,0,1,1,0,145
1325,sector 57,house,independent,4.75,28787.0,1650.05,Plot area 1600(148.64 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,3,3,2.0,North-West,Moderately New Property,,1700.0,1650.0,0,0,0,0,1,0,96
1333,sector 54,house,emaar the palm springs,24.0,600000.0,400.0,Plot area 400(37.16 sq.m.),5,5,2,1.0,North-East,Old Property,,400.0,,1,1,0,1,0,0,122
1341,sector 26,house,dlf city plots,13.5,29880.0,4518.07,Plot area 502(419.74 sq.m.),5,5,3,2.0,East,Old Property,,4518.0,,1,1,0,1,1,0,110
1349,sector 53,flat,tulip monsella,7.4,33198.0,2229.0,Carpet area: 2229 (207.08 sq.m.),4,4,3,21.0,Na,Under Construction,,,2229.0,0,0,0,0,0,1,35
1379,sector 60,house,adani brahma samsara,18.02,28200.0,6390.07,Built Up area: 6390 (593.65 sq.m.),9,12,3+,3.0,North-East,Relatively new property,,6390.0,,1,0,0,0,0,0,146
1404,sector 25,house,independent,9.0,33333.0,2700.03,Plot area 300(250.84 sq.m.),5,5,3,3.0,North,Old Property,,2700.0,,1,1,0,1,1,1,56
1437,sector 25,house,dlf city plots phase 2,10.5,261194.0,402.0,Plot area 402(37.35 sq.m.),4,4,2,2.0,East,Old Property,,402.0,,1,0,0,1,0,0,91
1438,sector 56,house,independent,11.5,42032.0,2736.01,Plot area 304(254.18 sq.m.),12,13,3+,4.0,West,Relatively new property,,2736.0,,1,1,0,1,0,0,49
1448,sector 86,house,ss omnia,0.42,84000.0,50.0,Plot area 50(4.65 sq.m.),5,3,2,3.0,Na,Relatively new property,,50.0,,0,0,0,0,0,1,0
1451,sector 56,house,independent,7.25,29336.0,2471.37,Plot area 303(253.35 sq.m.),8,8,3+,0.0,North-East,Moderately New Property,,303.0,,0,0,0,0,0,0,24
1458,sector 48,house,vipul tatvam villa,18.5,26428.0,7000.15,Plot area 7000(650.32 sq.m.),4,4,1,1.0,Na,Moderately New Property,,7000.0,,0,0,0,0,0,1,30
1461,sector 46,house,independent,6.5,27461.0,2366.99,Plot area 263(219.9 sq.m.),12,12,3+,4.0,North-West,Relatively new property,,2367.0,,0,1,0,1,0,0,32
1483,sector 24,house,independent,5.25,38889.0,1350.0,Plot area 163(136.29 sq.m.)Built Up area: 160 sq.yards (133.78 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),4,4,3+,2.0,East,Relatively new property,,160.0,150.0,1,0,0,1,0,0,72
1488,sector 25,house,dlf city plots phase 2,6.3,35000.0,1800.0,Plot area 200(167.23 sq.m.),4,4,3+,2.0,East,Old Property,,1800.0,,1,0,0,0,1,1,89
1493,sector 50,house,unitech south city,5.88,27222.0,2160.02,Plot area 240(200.67 sq.m.),9,9,3+,3.0,East,Relatively new property,,2160.0,,1,1,1,1,0,2,128
1501,sector 26,house,independent,18.0,39841.0,4517.96,Plot area 502(419.74 sq.m.),5,4,3+,4.0,North,Moderately New Property,,4518.0,,1,1,0,1,1,0,113
1520,sector 11,house,independent,4.5,25000.0,1800.0,Plot area 200(167.23 sq.m.),16,16,3+,4.0,South,Relatively new property,,1800.0,,0,0,0,0,0,0,20
1538,sector 26,house,dlf city plots,26.0,57206.0,4544.98,Plot area 505(422.24 sq.m.),6,7,3+,2.0,North-East,New Property,,4545.0,,1,1,1,1,0,0,138
1548,sector 50,house,independent,10.55,32562.0,3239.97,Plot area 360(301.01 sq.m.),5,5,3,2.0,Na,Moderately New Property,,3240.0,,1,1,0,0,0,1,42
1563,sector 38,house,independent,8.0,230547.0,347.0,Built Up area: 347 (32.24 sq.m.)Carpet area: 215 sq.ft. (19.97 sq.m.),10,10,3+,1.0,North,Undefined,,347.0,215.0,0,0,0,0,0,1,0
1584,sector 50,house,nirvana cedar crest,7.1,32870.0,2160.02,Plot area 240(200.67 sq.m.)Built Up area: 239 sq.yards (199.83 sq.m.)Carpet area: 238 sq.yards (199 sq.m.),5,4,3,2.0,East,Moderately New Property,,239.0,238.0,0,1,0,1,1,0,110
1585,sector 63a,flat,birla navya,3.23,26875.0,1202.0,Super Built up area 2150(199.74 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,3,4.0,West,New Property,2150.0,,1200.0,1,0,0,0,0,1,52
1605,sector 6,house,independent,1.0,41666.0,240.0,Built Up area: 240 (22.3 sq.m.),6,4,0,3.0,Na,Undefined,,240.0,,0,0,0,0,0,1,0
1635,sector 39,house,independent,15.0,33333.0,4500.05,Plot area 500(418.06 sq.m.),5,5,3+,4.0,Na,Moderately New Property,,4500.0,,1,0,0,0,0,0,27
1637,sector 43,house,independent,9.85,29638.0,3323.44,Plot area 418(349.5 sq.m.),5,5,2,3.0,West,Old Property,,418.0,,1,1,0,1,0,1,21
1640,sector 25,house,independent,4.35,32222.0,1350.01,Plot area 150(125.42 sq.m.),5,4,3,3.0,North,Old Property,,1350.0,,1,0,0,0,0,1,49
1648,sector 50,house,unitech deerwood chase,15.0,33333.0,4500.05,Plot area 500(418.06 sq.m.),4,4,2,2.0,West,Moderately New Property,,4500.0,,1,0,0,0,0,1,160
1665,sector 28,house,independent,0.45,90000.0,50.0,Built Up area: 50 (4.65 sq.m.),5,3,0,1.0,Na,Undefined,,50.0,,0,0,0,0,0,1,0
1696,sector 43,house,independent,5.75,29716.0,1934.98,Plot area 215(179.77 sq.m.),4,4,2,2.0,North,Old Property,,1935.0,,1,0,0,1,1,1,34
1700,sector 50,house,unitech espace,7.45,34491.0,2159.98,Plot area 240(200.67 sq.m.)Built Up area: 4500 sq.yards (3762.57 sq.m.)Carpet area: 4000 sq.yards (3344.51 sq.m.),4,4,3,3.0,Na,Old Property,,4500.0,4000.0,1,0,0,0,0,0,59
1709,sector 27,house,independent,8.25,45833.0,1800.01,Plot area 210(175.59 sq.m.)Built Up area: 205 sq.yards (171.41 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),12,12,3+,4.0,East,New Property,,205.0,200.0,1,0,0,1,0,0,40
1711,sector 26,house,dlf city plots,12.5,38580.0,3240.02,Plot area 360(301.01 sq.m.),4,5,2,2.0,North-East,Moderately New Property,,3240.0,,1,1,0,0,0,0,121
1716,sector 46,house,independent,3.55,24500.0,1448.98,Plot area 161(134.62 sq.m.),5,4,3+,3.0,North-West,Moderately New Property,,1449.0,,1,0,0,0,0,0,73
1717,sector 50,house,unitech espace,11.29,34846.0,3239.97,Plot area 360(301.01 sq.m.),5,5,3+,2.0,Na,Moderately New Property,,3240.0,,0,1,0,1,0,1,21
1739,sector 25,house,dlf city plots phase 2,6.5,36111.0,1800.01,Plot area 200(167.23 sq.m.),5,5,3+,3.0,East,Old Property,,1800.0,,1,1,0,1,1,0,134
1747,sector 26,house,dlf city phase 1,5.5,30556.0,1799.97,Plot area 200(167.23 sq.m.),4,4,3+,2.0,East,Moderately New Property,,1800.0,,0,0,0,1,1,1,49
1750,sector 109,house,international city by sobha phase 2,6.44,26502.0,2430.01,Plot area 270(225.75 sq.m.),4,5,3+,3.0,North-East,New Property,,2430.0,,1,1,0,1,1,1,138
1755,sector 48,house,vipul tatvam villa,22.0,26667.0,8249.9,Plot area 1000(836.13 sq.m.),5,6,3,3.0,Na,Moderately New Property,,1000.0,,1,0,0,0,0,1,54
1756,sector 54,flat,dlf the crest,11.0,35483.0,3100.0,Carpet area: 3100 (288 sq.m.),4,5,3+,7.0,North-East,Relatively new property,,,3100.0,1,1,0,1,0,1,49
1757,sector 50,house,unitech espace,7.5,34722.0,2160.01,Plot area 240(200.67 sq.m.)Built Up area: 241 sq.yards (201.51 sq.m.)Carpet area: 240 sq.yards (200.67 sq.m.),3,3,2,2.0,West,Moderately New Property,,241.0,240.0,1,0,0,0,0,0,66
1766,sector 25,house,dlf city plots phase 2,10.75,29861.0,3600.01,Plot area 400(334.45 sq.m.),9,9,3+,3.0,South-West,Old Property,,3600.0,,1,0,0,1,1,1,73
1768,sector 55,house,independent,7.49,27741.0,2699.97,Plot area 300(250.84 sq.m.),12,12,3+,4.0,South-East,Relatively new property,,2700.0,,1,1,0,1,0,0,49
